,dtype,n_missing,missing_rate
Unnamed: 0,int64,0,0.0
ij_grid,object,0,0.0
latitude,float64,0,0.0
longitude,float64,0,0.0
thickness,float64,0,0.0
thickness_uncertainty,float64,0,0.0
x_proj,float64,0,0.0
y_proj,float64,0,0.0
i_grid,int64,0,0.0
j_grid,int64,0,0.0
survey_id,int64,0,0.0
date,object,0,0.0
rgi_id,object,0,0.0
topo,float64,0,0.0
topo_smoothed,float64,0,0.0
slope,float64,0,0.0
slope_factor,float64,0,0.0
aspect,float64,0,0.0
dis_from_border,float64,0,0.0
catchment_area,float64,0,0.0
lin_mb_above_z,float64,0,0.0
oggm_mb_above_z,float64,0,0.0
consensus_ice_thickness,float64,0,0.0
millan_ice_thickness,float64,0,0.0
millan_v,float64,0,0.0
itslive_v,float64,0,0.0
hugonnet_dhdt,float64,0,0.0
glacier_cenlon,float64,0,0.0
glacier_cenlat,float64,0,0.0
glacier_area_km2,float64,0,0.0
glacier_outline_year,int64,0,0.0
glacier_is_tidewater,bool,0,0.0
glacier_median_elev,float64,0,0.0
glacier_min_elev,float64,0,0.0
glacier_max_elev,float64,0,0.0
glacier_length,float64,0,0.0
glacier_oggm_volume,float64,0,0.0
glacier_reference_mb,float64,0,0.0
glacier_aar,float64,0,0.0
glacier_avg_temp,float64,0,0.0
glacier_avg_prcpsol,float64,0,0.0
glacier_avg_prcp,float64,0,0.0
glacier_avg_meltingtemp,float64,0,0.0
RGI,object,0,0.0
