RGI,n_before,n_after,removed,removed_rate
RGI01,14237,13074,1163,0.08168855798272108
RGI02,3593,3540,53,0.014750904536598943
RGI03,82077,81635,442,0.005385187080424479
RGI04,20615,20517,98,0.004753820033955857
RGI05,31024,30774,250,0.008058277462609592
RGI07,32290,32036,254,0.007866212449674823
RGI08,5106,5067,39,0.00763807285546416
RGI10,181,172,9,0.049723756906077346
RGI11,43045,42773,272,0.006318968521314903
RGI12,890,887,3,0.0033707865168539327
RGI13,2855,2824,31,0.010858143607705779
RGI15,24,24,0,0.0
RGI16,848,813,35,0.041273584905660375
RGI17,2637,2506,131,0.049677664012135005
RGI19,48494,47916,578,0.01191900028869551
