scenario,region,rep,fold,model,rmse,mae,r2
with_supervision,GLOBAL,0,0,xgboost,34.91355054980536,19.602419136608194,0.9754491151349232
with_supervision,GLOBAL,0,0,catboost,38.668379477926834,24.20869615197084,0.9698844319182243
with_supervision,GLOBAL,0,0,lightgbm,35.15479414080314,20.248295884356477,0.9751086624541955
with_supervision,GLOBAL,0,0,mlp,98.97064754261551,62.05368691924604,0.8027159660841665
with_supervision,GLOBAL,0,1,xgboost,35.71488945488949,19.76633204737453,0.974873432236326
with_supervision,GLOBAL,0,1,catboost,39.580015478105025,24.420687554177665,0.9691406717619339
with_supervision,GLOBAL,0,1,lightgbm,35.847023887136736,20.390012578584898,0.9746871667051744
with_supervision,GLOBAL,0,1,mlp,90.78717936953589,54.855186247587234,0.8376382980119822
with_supervision,GLOBAL,0,2,xgboost,35.5512106969074,19.768122106846768,0.9750759007666013
with_supervision,GLOBAL,0,2,catboost,39.81378884303897,24.536403162461248,0.9687408115396442
with_supervision,GLOBAL,0,2,lightgbm,36.07970916080161,20.595040664055702,0.9743293575754319
with_supervision,GLOBAL,0,2,mlp,119.20618625964445,73.24981257394276,0.719774102326904
with_supervision,GLOBAL,0,3,xgboost,35.909821486349244,19.875690319516497,0.9740301554819012
with_supervision,GLOBAL,0,3,catboost,39.622170374435534,24.49624816588398,0.9683830931763442
with_supervision,GLOBAL,0,3,lightgbm,36.12885056525676,20.47887257979521,0.9737123873561336
with_supervision,GLOBAL,0,3,mlp,115.5180807822283,72.49614375231384,0.7312535185536413
with_supervision,GLOBAL,0,4,xgboost,34.798854590867585,19.553210300312543,0.9757305694375394
with_supervision,GLOBAL,0,4,catboost,39.677062503959796,24.526726186802684,0.9684493209238604
with_supervision,GLOBAL,0,4,lightgbm,35.54631134330199,20.365598128998105,0.974676789281759
with_supervision,GLOBAL,0,4,mlp,115.4581772288133,74.3302168872989,0.7328352959191796
