feature,importance_xgb,importance_lgb,importance_max
aspect,4521.15576171875,122863,122863.0
glacier_cenlon,114514.234375,12442,114514.234375
slope,109123.3984375,97179,109123.3984375
dis_from_border,80562.4296875,105792,105792.0
catchment_area,28876.333984375,92272,92272.0
topo,20495.3828125,88700,88700.0
slope_factor,83270.875,14725,83270.875
millan_v,21546.90625,75000,75000.0
glacier_avg_temp,51658.84765625,21588,51658.84765625
longitude,38903.171875,49905,49905.0
glacier_aar,49684.66015625,26380,49684.66015625
topo_smoothed,30246.71875,46649,46649.0
latitude,25120.23828125,45223,45223.0
glacier_avg_meltingtemp,37047.02734375,21245,37047.02734375
glacier_cenlat,36574.96484375,11758,36574.96484375
glacier_avg_prcp,29008.111328125,13296,29008.111328125
glacier_reference_mb,23610.609375,27745,27745.0
glacier_avg_prcpsol,27305.298828125,21238,27305.298828125
