feature,importance
dis_from_border,0.24680714309215546
slope,0.24059544503688812
catchment_area,0.13000483065843582
millan_v,0.12139429152011871
topo_smoothed,0.09390788525342941
longitude,0.08049467206001282
topo,0.07647161185741425
latitude,0.05523775517940521
glacier_cenlon,0.047354526817798615
glacier_aar,0.043248191475868225
slope_factor,0.04218565672636032
glacier_avg_temp,0.03300862014293671
aspect,0.020598284900188446
glacier_avg_meltingtemp,0.014211080968379974
glacier_reference_mb,0.013988032937049866
glacier_cenlat,0.01322239637374878
glacier_avg_prcpsol,0.010959044098854065
glacier_avg_prcp,0.005687884986400604
